date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-01-27,saturday,guney,8.06,21,lunch,antep corba,izmir kofte,zy. bruksel lahanasi,"misirli eriste, garniturlu pirinc pilavi","ayran, meyve, salata"
2024-01-28,sunday,guney,5.6,10,lunch,alaca corba,kiymali karnabahar,karnabahar graten,soslu makarna,"yogurt, gazoz, salata"
2024-01-29,monday,guney,4.38,114,lunch,tarhana corba,tas kebabi,falafel,"melek pilavi, bulgur pilavi","soda, salata, revani"
2024-01-30,tuesday,guney,5.36,84,lunch,yayla corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, sehriyeli pirinc pilavi","salata, meyve, cilekli puding"
2024-01-31,wednesday,guney,6.53,174,lunch,mercimek corba,iskender kebap,mucver,soslu makarna,"mor salata, meyve, portakalli gazoz"
2024-02-01,thursday,guney,7.48,270,lunch,kafkas corba,firin hindi,mantar sote,"ic pilavi, cevizli eriste","gazoz, havuc borani, salata"
2024-02-02,friday,guney,8.08,326,lunch,ezogelin corba,pideli kofte,harput kofte,"arpa sehriyeli pirinc pilavi, mercimekli bulgur pilavi","soda, sekerpare, meyve"
2024-02-03,saturday,guney,8.78,66,lunch,sehriye corba,bahcivan kebabi,bugdayli pazi,kuskus,"yogurt, meyve, soda"
2024-02-04,sunday,guney,8.8,87,lunch,gendime corba,adana kofte,zy.brokoli,soslu makarna,"meyve, salata, soda"
2024-02-05,monday,guney,13.88,227,lunch,alaca corba,etli taze fasulye,etsiz taze fasulye,bulgur pilavi,"kabak tatlisi, mevsim salata, soda"
2024-02-06,tuesday,guney,16.03,309,lunch,mercimek corba,etli biber dolma,zy.dolma,"gul boregi, soslu makarna","salata, limonata, meyve"
2024-02-07,wednesday,guney,16.31,435,lunch,domates corba,balik pane,mucver,"zy. orbit fasulye, soslu makarna","helva, roka salatasi, meyve suyu"
2024-02-08,thursday,guney,17.28,424,lunch,andaloz corba,firin kofte,pirasa yemegi,peynirli makarna,"muzlu puding, yesil salata, soda"
2024-02-09,friday,guney,16.11,415,lunch,sehriye corba,arnavut cigeri,falafel,bulgur pilavi,"ayran, cevizli baklava, mevsim salata"
2024-02-10,saturday,guney,16.7,1,lunch,sifa corba,etli barbunya,zy.barbunya,bulgur pilavi,"yogurt, mevsim salata, gazoz"
2024-02-11,sunday,guney,17.44,1,lunch,elvankiz corba,tas kebabi,zy.kereviz,soslu makarna,"pembe sultan, meyve, ayran"
2024-02-12,monday,guney,16.38,1369,lunch,kabak corba,izgara tavuk,zy. bruksel lahanasi,"peynirli makarna, sehriyeli pirinc pilavi","ayran, mevsim salata, meyve"
2024-02-13,tuesday,guney,14.36,1964,lunch,mercimek corba,kabak begendili kebap,zy.brokoli,bulgur pilavi,"sutlac, meyve, mevsim salata"
2024-02-14,wednesday,guney,9.08,1933,lunch,mercimek corba,hasanpasa kofte,falafel,bulgur pilavi,"supangle, portakalli gazoz, mevsim salata"
2024-02-15,thursday,guney,6.58,2157,lunch,gendime corba,cin usulu  tavuk sote,sebze buketi,mercimekli bulgur pilavi,"meyve, mevsim salata, gazoz"
2024-02-16,friday,guney,7.33,1144,lunch,domates corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, mevsim salata, ayran"
2024-02-17,saturday,guney,7.58,345,lunch,tarhana corba,bahcivan kebabi,karnabahar yemegi,kuskus,"mevsim salata, meyve, supangle"
2024-02-18,sunday,guney,7.23,250,lunch,kafkas corba,etli taze fasulye,etsiz taze fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","mevsim salata, meyve, gazoz"
2024-02-19,monday,guney,8.14,2248,lunch,alaca corba,meksika usulu tavuk,zy.brokoli,zerdecalli makarna,"fanta, meyve, mor salata"
2024-02-20,tuesday,guney,9.28,1739,lunch,antep corba,etli kuru fasulye,gemici usulu kuru fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, ayran, mevsim salata"
2024-02-21,wednesday,guney,10.68,2289,lunch,suzme mercimek corba,izgara tavuk,mucver,soslu makarna,"supangle, ayran, mevsim salata"
2024-02-22,thursday,guney,11.78,1619,lunch,tarhana corba,etli turlu,sebze turlu,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-02-23,friday,guney,15.63,1811,lunch,ezogelin corba,et doner,kereviz yemegi,sogan halkasi,"ayran, mevsim salata, meyve"
2024-02-24,saturday,guney,17.48,498,lunch,kafkas corba,soslu mitite kofte,sebze graten,soslu makarna,"ayran, mevsim salata, meyve"
2024-02-25,sunday,guney,18.53,347,lunch,antep corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, limonata, mevsim salata"
2024-02-26,monday,guney,14.86,2105,lunch,elvankiz corba,tavuklu mantar sote,mantar sote,"misirli pirinc pilavi, bulgur pilavi","kazandibi, soda, mevsim salata"
2024-02-27,tuesday,guney,12.68,1712,lunch,gendime corba,etli bezelye,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","yogurt, mevsim salata, fanta"
2024-02-28,wednesday,guney,13.03,2323,lunch,krutonlu domates corba,tavuk doner,falafel,soslu spagetti,"sekerpare, ayran, mevsim salata"
2024-02-29,thursday,guney,15.61,1985,lunch,tarhana corba,izmir kofte,zy.brokoli,soslu makarna,"limonata, coleslaw salata, meyve"
2024-03-01,friday,guney,16.75,626,lunch,ezogelin corba,tavuklu bofstraganof,mantar sote,soslu makarna,"gazoz, profiterol, yesil salata"
2024-03-02,saturday,guney,14.16,154,lunch,domates corba,ciftlik kofte,sebze sote,napoliten soslu makarna,"fanta, meyve, tulumba tatlisi"
2024-03-03,sunday,guney,11.16,138,lunch,yayla corba,bahcivan kebabi,bezelye yemegi,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-03-04,monday,guney,15.48,620,lunch,kis corbasi,ankara tava,mucver,"zy.taze fasulye, zy.barbunya","meyve, salata, gazoz"
2024-03-05,tuesday,guney,12.38,565,lunch,ezogelin corba,etli guvec,sebze sote,bulgur pilavi,"cacik, meyve, soda"
2024-03-06,wednesday,guney,9.01,685,lunch,mantar corba,kibrit kebabi,zy.kereviz,bulgur pilavi,"salata, meyve, gazoz"
2024-03-07,thursday,guney,11.86,781,lunch,mercimek corba,et doner,zy.enginar,bulgur pilavi,"salata, ayran, meyve"
2024-03-08,friday,guney,6.98,0,lunch,domates corba,eksili kofte,karnibahar yemegi,"soslu makarna, su boregi","komposto, mevsim salata, meyve"
2024-03-09,saturday,guney,8.7,418,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, cevizli baklava, yogurt"
2024-03-10,sunday,guney,12.36,105,lunch,,kiymali karnabahar,karnabahar graten,kuskus,"meyve, kadayifli muhallebi, mevsim salata"
2024-03-11,monday,guney,17.45,522,lunch,suzme mercimek corba,tavuk izgara,patatesli mantar graten,"soslu makarna, misirli pirinc pilavi","soda, roka+turp salata, meyve"
2024-03-12,tuesday,guney,16.08,283,lunch,saray corba,etli taze fasulye,zy. taze fasulye,bulgur pilavi,"sutlac, mevsim salata, komposto"
2024-03-13,wednesday,guney,13.55,331,lunch,cennet corba,kiymali ispanak,ispanak yemegi,"patatesli gul boregi, soslu spagetti","supangle, meyve, mevsim salata"
2024-03-14,thursday,guney,14.43,318,lunch,tarhana corba,etli barbunya,sicak barbunya,meyhane pilavi,"tursu, mevsim salata, gazoz"
2024-03-15,friday,guney,9.86,310,lunch,sehriye corba,ciftlik kebabi,mucver,"mercimekli bulgur pilavi, zerdecalli pirinc pilavi","yogurt, meyve, soda"
2024-03-16,saturday,guney,11.23,128,lunch,ezogelin corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, eriste","meyve, mevsim salata, meyve suyu"
2024-03-17,sunday,guney,12.26,106,lunch,mahluta corba,karisik musakka,nohutlu kabak,bulgur pilavi,"cacik, mor salata, baklava"
2024-03-18,monday,guney,15.26,323,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-03-19,tuesday,guney,14.61,352,lunch,sehriye corba,etli turlu,sebze turlu,kuskus,"ayran, cilekli puding, mevsim salata"
2024-03-20,wednesday,guney,6.7,457,lunch,mantar corba,ispanakli tavuk sarma,saksuka,"bolonez soslu makarna, garniturlu pirinc pilavi","limonata, mozaik pasta, salata"
2024-03-21,thursday,guney,10.53,411,lunch,antep corba,etli manti,vegan manti,"saksuka, zy.barbunya","fanta, kisir, meyve"
2024-03-22,friday,guney,8.7,344,lunch,krutonlu domates corba,tavuk kok kanat,yesil mercimek yemegi,"arpa sehriye pilavi, melek pilavi","piyaz, soda, meyve"
2024-03-23,saturday,guney,11.88,191,lunch,tutmac corba,pizza,mucver,"soslu spagetti, zy.orbit fasulye","gazoz, mevsim salata, trilece"
2024-03-24,sunday,guney,14.83,1,lunch,cennet corba,eksili kofte,mantar sote,"bulgur pilavi, melek pilavi","ayran, yesil salata, kazandibi"
2024-03-25,monday,guney,8.24,12,lunch,yayla corba,etli bezelye,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","meyve, mevsim salata, limonata"
2024-03-26,tuesday,guney,13.48,18,lunch,domates corba,misket kofte,zy.enginar,soslu makarna,"turp salata, meyve, ayran"
2024-03-27,wednesday,guney,21.5,17,lunch,domates corba,pilic portekiz,falafel,"garniturlu pirinc pilavi, kori soslu makarna","zerde, ayran, mercimek kofte"
2024-03-28,thursday,guney,19.7,158,lunch,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"gul boregi, soslu makarna","meyve, mevsim salata, mozaik pasta"
2024-03-29,friday,guney,22.19,421,lunch,koy corbasi,kibrit kebabi,zy. bruksel lahanasi,bulgur pilavi,"mevsim salata, cevizli kadayif, soda"
2024-03-30,saturday,guney,25.31,164,lunch,mantar corba,izmir kofte,harput kofte,soslu spagetti,"ayran, mevsim salata, meyve"
2024-03-31,sunday,guney,23.2,101,lunch,tarhana corba,etli patates oturtma,patates yemegi,peynirli makarna,"meyve suyu, mevsim salata, hosmerim"
2024-04-01,monday,guney,23.77,315,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, soda"
2024-04-02,tuesday,guney,25.06,463,lunch,ezogelin corba,izmir kofte,harput kofte,"firin makarna, zerdecalli pirinc pilavi","coleslaw salata, meyve, soda"
2024-04-03,wednesday,guney,18.56,498,lunch,mercimek corba,tavuk doner,zy. orbit fasulye,bulgur pilavi,"ayran, mevsim salata, meyve"
2024-04-04,thursday,guney,18.08,452,lunch,domates corba,eksili kofte,falafel,"bulgur pilavi, su boregi","salata, meyve, gazoz"
2024-04-05,friday,guney,20.19,271,lunch,tarhana corba,etli mantar sote,sebzeli mantar sote,soslu makarna,"meyve, salata, mutebbel"
2024-04-06,saturday,guney,19.9,76,lunch,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,"soslu spagetti, su boregi","kazandibi, meyve, salata"
2024-04-07,sunday,guney,15.3,33,lunch,tarhana corba,ciftlik kebabi,sebze buketi,"bulgur pilavi, melek pilavi","meyve suyu, mercimek kofte, cevizli kadayif"
2024-04-08,monday,guney,15.55,51,lunch,krutonlu domates corba,firin tavuk but,zy.barbunya,"gokkusagi pilavi, bulgur pilavi","ayran, mevsim salata, peynir tatlisi"
2024-04-09,tuesday,guney,16.95,39,lunch,ezogelin corba,et doner,mucver,"misirli pirinc pilavi, bulgur pilavi","fanta, meyve, amerikan salata"
2024-04-10,wednesday,guney,16.45,25,lunch,antep corba,garniturlu tavuk sarma,bezelye yemegi,"melek pilavi, bulgur pilavi","mevsim salata, fanta, meyve"
2024-04-11,thursday,guney,18.36,43,lunch,mercimek corba,kiymali ispanak,ispanak yemegi,"gul boregi, soslu spagetti","kadayifli muhallebi, meyve, gazoz"
2024-04-12,friday,guney,19.31,53,lunch,sebze corba,pizza,saksuka,"sogan halkasi, zy.enginar","fanta, meyve, mercimek kofte"
2024-04-13,saturday,guney,19.25,57,lunch,krutonlu domates corba,soslu tavuk biftek,zy. bruksel lahanasi,"firin makarna, nohutlu pirinc pilavi","meyve, mevsim salata, ayran"
2024-04-14,sunday,guney,23.31,83,lunch,ezogelin corba,tavuklu sebze guvec,sebze guvec,"kuskus, bulgur pilavi","cacik, meyve, limonata"
2024-04-15,monday,guney,24.19,548,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"meyve, limonata, damla sakizli muhallebi"
2024-04-16,tuesday,guney,26.73,623,lunch,mantar corba,firin kofte,bulgur kofte,zy.orbit fasulye,"komposto, mevsim salata, meyve"
2024-04-17,wednesday,guney,25.88,662,lunch,sehriye corba,pureli tas kebabi,sebze buketi,bulgur pilavi,"ayran, kazandibi, salata"
2024-04-18,thursday,guney,15.58,477,lunch,koylu corba,etli taze fasulye,etsiz taze fasulye,"misirli pirinc pilavi, bulgur pilavi","tulumba tatlisi, soda, meyve"
2024-04-19,friday,guney,13.88,468,lunch,domates corba,eksili kofte,zy. orbit fasulye,"bulgur pilavi, boncuk makarna","meyve, soda, mevsim salata"
2024-04-20,saturday,guney,13.68,207,lunch,ezogelin corba,elbasan tava,zy. bruksel lahanasi,"havuclu pirinc pilavi, eriste","mevsim salata, meyve, supangle"
2024-04-21,sunday,guney,18.75,235,lunch,suzme mercimek corba,pilic emense,patates graten,firin makarna,"mevsim salata, meyve, sutlac"
2024-04-22,monday,guney,20.36,514,lunch,antep corba,firin kofte,falafel,bulgur pilavi,"havuc borani, mevsim salata, soda"
2024-04-23,tuesday,guney,19.11,191,lunch,alaca corba,arnavut cigeri,mucver,kuskus makarna,"piyaz, fanta, meyve"
2024-04-24,wednesday,guney,25.9,690,lunch,yayla corba,tavuk but kizartma,zy.enginar,"sehriyeli pirinc pilavi, soslu makarna","ayran, cevizli kadayif, meyve"
2024-04-25,thursday,guney,24.05,650,lunch,mantar corba,ciftlik kofte,zy. kereviz,soslu makarna,"cacik, meyve, limonata"
2024-04-26,friday,guney,17.78,623,lunch,mercimek corba,cordon bleu,falafel,"eriste, cig kofte","meyve, mevsim salata, soda"
2024-04-27,saturday,guney,16.08,172,lunch,tarhana corba,kiymali yesil mercimek,yesil mercimek,"su boregi, soslu makarna","kazandibi, meyve, mevsim salata"
2024-04-28,sunday,guney,16.45,142,lunch,mahluta corba,pureli davutpasa kofte,karnabahar yemegi,"soslu makarna, arpa sehriye pilavi","limonata, mevsim salata, meyve"
2024-04-29,monday,guney,15.28,524,lunch,mercimek corba,tavuk baget haslama,patates yemegi,bulgur pilavi,"gazoz, meyve, mevsim salata"
2024-04-30,tuesday,guney,15.53,393,lunch,koylu corba,etli barbunya,zy.barbunya,"melek pilavi, bulgur pilavi","tursu, meyve, tulumba tatlisi"
2024-05-01,wednesday,guney,14.8,253,lunch,mercimek corba,pilic special but,saksuka,"sehriyeli pirinc pilavi, soslu makarna","mor salata, ayran, cevizli kadayif"
2024-05-02,thursday,guney,16.31,624,lunch,sehriye corba,pureli rosto kofte,zy.brokoli,"soslu makarna, melek pilavi","limonata, mevsim salata, meyve"
2024-05-03,friday,guney,19.12,574,lunch,domates corba,pilic emense,harput kofte,soslu spagetti,"islak kek, meyve, kirmizi pancar salata"
2024-05-04,saturday,guney,15.68,169,lunch,koy corbasi,izmir kofte,sebze sote,eriste,"meyve, gazoz, salata"
2024-05-05,sunday,guney,15.45,153,lunch,tarhana corba,tavuk haslama,zy.barbunya,"melek pilavi, bulgur pilavi","soda, salata, meyve"
2024-05-06,monday,guney,18.28,531,lunch,toyga corba,kabak begendili kebap,kabak kalye,eriste,"meyve, salata, gazoz"
2024-05-07,tuesday,guney,21.81,529,lunch,tarhana corba,orman kebabi,bezelye yemegi,bulgur pilavi,"sutlac, meyve, salata"
2024-05-08,wednesday,guney,23.55,761,lunch,suzme mercimek corba,meksika soslu tavuk,harput kofte,"sebzeli pirinc pilavi, penne makarna","humus, kola, mor dunya"
2024-05-09,thursday,guney,17.36,808,lunch,ezogelin corba,et doner,imambayildi,bulgur pilavi,"meyve, fanta, mevsim salata"
2024-05-10,friday,guney,16.28,496,lunch,antep corba,hasanpasa kofte,zy.bamya,bulgur pilavi,"limonata, meyve, mevsim salata"
2024-05-11,saturday,guney,15.98,179,lunch,mercimek corba,cordon bleu,sebze buketi,"su boregi, mantar soslu makarna","mevsim salata, kola, meyve"
2024-05-12,sunday,guney,20.11,140,lunch,sebze corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, meyve, kibris tatli, vegan tatli"
2024-05-13,monday,guney,14.11,511,lunch,krutonlu domates corba,nohutlu misket kofte,zy.yaprak sarma,"melek pilavi, bulgur pilavi","meyve, mevsim salata, gazoz"
2024-05-14,tuesday,guney,16.78,563,lunch,ezogelin corba,patlican oturtma,patlican tava,bulgur pilavi,"cacik, meyve, kazandibi+ vegan tatli"
2024-05-15,wednesday,guney,16.98,743,lunch,kafkas corba,tavuk izgara,taze fasulye,"garniturlu pirinc pilavi, soslu spagetti","cig kofte, ayran, meyve"
2024-05-16,thursday,guney,16.9,621,lunch,mantar corba,macar gulas,patates graten,bulgur pilavi,"tulumba tatlisi, meyve, limonata"
2024-05-17,friday,guney,18.7,577,lunch,krutonlu mercimek corba,meksika soslu tavuk,falafel,"misirli pirinc pilavi, meyhane pilavi","soda, mevsim salata, meyve"
2024-05-18,saturday,guney,19.56,250,lunch,domates corba,pizza,mucver,"sogan halkasi, zy. orbit fasulye","kola, meyve, krem sokola"
2024-05-19,sunday,guney,16.75,144,lunch,kafkas corba,tavuk haslama,sebze buketi,"bulgur pilavi, melek pilavi","ayran, mevsim salata, kemalpasa, vegan tatli"
2024-05-20,monday,guney,18.58,484,lunch,ezogelin corba,mantar soslu tavuk sinitzel,zy.mantar,"soslu spagetti, melek pilavi","kabak tarator, meyve, gazoz"
2024-05-21,tuesday,guney,19.2,446,lunch,suzme mercimek corba,pilic topkapi,mucver,"zy. orbit fasulye, sogan halkasi","soda, meyve, mevsim salata"
2024-05-22,wednesday,guney,20.9,460,lunch,cerkez corba,tavuk doner,mantar sote,"napoliten soslu makarna, garniturlu pirinc pilavi","mercimek kofte, ayran, meyve"
2024-05-23,thursday,guney,18.45,455,lunch,suzme mercimek corba,etli patlican dolma,zy. patlican dolma,"su boregi, makarna","mor lahana salatasi, meyve, kazandibi"
2024-05-24,friday,guney,19.9,255,lunch,koylu corba,etli taze fasulye,zy. taze fasulye,"soslu makarna, zerdecalli pirinc pilavi","yogurt, meyve, komposto"
2024-05-25,saturday,guney,20.69,276,lunch,yayla corba,pideli kofte,zy.brokoli,"zerdecalli pirinc pilavi, arpa sehriye pilavi","ayran, meyve, soda"
2024-05-26,sunday,guney,19.38,115,lunch,antep corba,bahcivan kebabi,zy.taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, mevsim salata, soda"
2024-05-27,monday,guney,18.19,378,lunch,ezogelin corba,bofstrogonof,mantar yemegi,"bulgur pilavi, pirinc pilavi","gazoz, meyve, mevsim salata"
2024-05-28,tuesday,guney,20.11,313,lunch,mahluta corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","mevsim salata, tursu, soda"
2024-05-29,wednesday,guney,24.38,465,lunch,antep corba,mantar soslu tavuk biftek,karnabahar graten,"nohutlu pirinc pilavi, bulgur pilavi","limonata, cig kofte, cevizli kadayif"
2024-05-30,thursday,guney,26.62,449,lunch,tutmac corba,ispanakli tavuk sarma,falafel,"soslu makarna, melek pilavi","ayran, mevsim salata, kisir"
2024-05-31,friday,guney,27.69,362,lunch,brokoli corba,izmir kofte,zy.bamya,"soslu makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-06-01,saturday,guney,29.1,138,lunch,suzme mercimek corba,etli kuru fasulye,etsiz kuru fasulye,"pirinc pilavi, bulgur pilavi","tursu, sutlac, soda"
2024-06-02,sunday,guney,32.94,100,lunch,safak corba,kiymali ispanak,ispanak yemegi,"gul boregi, spagetti makarna","supangle, meyve, limonata"
2024-06-03,monday,guney,31.48,324,lunch,sebze corba,tas kebabi,yesil mercimek yemegi,"arpa sehriyeli pirinc pilavi, bulgur pilavi","komposto, meyve, misirli salata"
2024-06-04,tuesday,guney,32.84,266,lunch,antep corba,etli bezelye,bezelye yemegi,"domatesli arpa sehriye pilavi, melek pilavi","baklava, limonata, salata"
2024-06-05,wednesday,guney,28.19,426,lunch,suzme mercimek corba,tavuk sac kavurma,bugdayli semizotu yemegi,"nohutlu pirinc pilavi, penne makarna","fanta, trilece, coban salata"
2024-06-06,thursday,guney,26.28,233,lunch,sehriye corba,etli nohut,nohut yemegi,"melek pilavi, pirinc pilavi","tursu, limonata, cevizli kadayif"
2024-06-07,friday,guney,26.38,238,lunch,toyga corba,etli guvec,sebze guvec,"soslu makarna, bulgur pilavi","sutlac, meyve, salata"
2024-06-08,saturday,guney,25.94,94,lunch,alaca corba,pideli kofte,yesil mercimek,"spagetti makarna, pirinc pilavi","semizotu salata, meyve, meyveli soda"
2024-06-09,sunday,guney,26.69,67,lunch,kafkas corba,firin baget,harput kofte,"eriste, garniturlu pirinc pilavi","coban salata, meyve, ayran"
2024-06-10,monday,guney,30.66,166,lunch,koylu corba,macar gulas,nohutlu kabak yemegi,"bulgur pilavi, pirinc pilavi","meyveli soda, salata, meyve"
2024-06-11,tuesday,guney,35.44,152,lunch,safak corba,kuru kofte,saksuka,"peynirli makarna, pirinc pilavi","meyve, salata, soda"
2024-06-12,wednesday,guney,31.48,156,lunch,cesmi nigar corba,kori soslu pilic,zy. patlican dolma,"nohutlu pirinc pilavi, domates soslu makarna","magnolia, coban salata, meyve"
2024-06-13,thursday,guney,33.6,102,lunch,tarhana corba,sucuklu kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, ayran, krem sokola"
2024-06-14,friday,guney,25.36,113,lunch,krotonlu mercimek corba,etli patlican dolma,zy.patlican dolma,"soslu makarna, gul boregi","meyve, misirli salata, soda"
2024-06-15,saturday,guney,24.36,20,lunch,soguk ayranasi corba,islim kofte,harput kofte,"misirli pirinc pilavi, soslu makarna","kola, sutlac, salata"
2024-06-16,sunday,guney,26.48,17,lunch,domates corba,hunkar begendi,dovmec,"melek pilavi, domatesli bulgur pilavi","yogurt, dondurma, salata"
2024-06-17,monday,guney,28.16,14,lunch,ezogelin corba,izgara tavuk,ispanak graten,"sark pilavi, nohutlu pirinc pilavi","ayran, coban salata, meyve"
2024-06-18,tuesday,guney,27.31,8,lunch,tavuk suyu corba,etli turlu,sebze sote,"pirinc pilavi, eriste","semizotu salata, yogurt, meyve"
2024-06-19,wednesday,guney,26.78,22,lunch,sefim corba,kekikli pilic kavurma,falafel,"misirli pirinc pilavi, makarna","meyveli soda, coban salata, tavuk gogsu"
2024-06-20,thursday,guney,27.44,21,lunch,mantar corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","tursu, meyve, mozaik pasta"
2024-06-21,friday,guney,26.86,28,lunch,mahluta corba,et doner,falafel,"garniturlu pirinc pilavi, domates soslu makarna","ayran, mevsim salata, meyve"
2024-06-22,saturday,guney,25.5,38,lunch,alaca corba,etli manti,vegan manti,"saksuka, zy.barbunya","meyve suyu, dondurma, salata"
2024-06-23,sunday,guney,25.77,113,lunch,ezogelin corba,pizza,mucver,"zy.orbit fasulye, sogan halkasi","kola, islak kek, meyve"
2024-06-24,monday,guney,26.48,270,lunch,sef'in corbasi,etli patates musakka,etsiz patates graten,"nohutlu pirinc pilavi, eriste","supangle, salata, limonata"
2024-06-25,tuesday,guney,26.86,432,lunch,dugun corba,manisa kirkagac kofte,harput kofte,"pirinc pilavi, zy. orbit fasulye","humus, meyve, salata"
2024-06-26,wednesday,guney,26.56,483,lunch,krotonlu mercimek corba,tavuklu abant kebabi,kabak kalye,"misirli pirinc pilavi, penne makarna","portakalli gazoz, meyve, haydari"
2024-06-27,thursday,guney,25.77,525,lunch,mahluta corba,et doner,falafel,"garniturlu pirinc pilavi, domates soslu makarna","ayran, soda, mevsim salata"
2024-06-28,friday,guney,25.95,387,lunch,domates corba,alinazik kebabi,patlican tava,"bulgur pilavi, melek pilavi","kola, mevsim salata, meyve"
2024-06-29,saturday,guney,26.2,188,lunch,naneli yogurt corba,etli nohut,etsiz nohut,"mercimekli bulgur pilavi, pirinc pilavi","ayran, coban salata, meyve"
2024-06-30,sunday,guney,28.31,223,lunch,domates corba,nugget,bruksel lahana,"soslu spagetti, pirinc pilavi","sekerpare, salata, soda"
2024-01-01,monday,guney,12.73,251,dinner,ezogelin corba,ankara tava,sebze buketi,"zy.barbunya, ispanakli gul boregi","pembe sultan, soda, meyve"
2024-01-02,tuesday,guney,8.33,233,dinner,vitamin corba,etli kuru fasulye,etsiz kuru fasulye,"arpa sehriyeli pirinc pilavi, bulgur pilavi","ayran, tursu, meyve"
2024-01-03,wednesday,guney,11.88,344,dinner,brokoli corba,firin kofte + patates,nohutlu kabak,soslu spagetti,"haydari, soda, meyve"
2024-01-04,thursday,guney,11.98,212,dinner,dugun corba,etli turlu,sebze turlu,mercimekli bulgur pilavi,"yogurt, salata, meyve"
2024-01-05,friday,guney,7.76,387,dinner,domates corba,firin tavuk but,zy.brokoli,"zerdecalli pirinc pilavi, bulgur pilavi","mor salata, ayran, meyve"
2024-01-06,saturday,guney,11.68,0,dinner,saray corba,izmir kofte,zy.enginar,soslu makarna,"cevizli baklava, soda, yesil salata"
2024-01-07,sunday,guney,12.95,165,dinner,kis corbasi,kiymali yesil mercimek,yesil mercimek yemegi,gul boregi,"ayran, meyve, salata"
2024-01-08,monday,guney,7.86,317,dinner,gendime corba,misket kofte,zy.kereviz,"sehriyeli pirinc pilavi, bulgur pilavi","ayran, meyve, gazoz"
2024-01-09,tuesday,guney,4.48,150,dinner,elvankiz corba,etli taze fasulye,etsiz taze fasulye,soslu makarna,"pembe sultan, gazoz, salata"
2024-01-10,wednesday,guney,3.06,222,dinner,tutmac corba,tavuk baget,zy.brokoli,"arpa sehriye pilavi, mercimekli bulgur pilavi","meyve, ayran, soda"
2024-01-11,thursday,guney,2.76,215,dinner,ezogelin corba,etli manti,vegan manti,"zy.orbit fasulye, zy.patlican dolma","cevizli baklava, salata, soda"
2024-01-12,friday,guney,2.86,135,dinner,tarhana corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"yogurt, salata, tursu"
2024-01-13,saturday,guney,1.06,86,dinner,mercimek corba,kiymali karnabahar,karnabahar graten,"sehriyeli pirinc pilavi, bulgur pilavi","ayran, salata, meyve"
2024-01-14,sunday,guney,4.6,85,dinner,vitamin corba,bahcivan kebabi,sebze turlu,"nohutlu pirinc pilavi, bulgur pilavi","salata, yogurt, meyve"
2024-01-15,monday,guney,10.08,78,dinner,mercimek corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, melek pilavi","cacik, salata, meyve"
2024-01-16,tuesday,guney,7.63,68,dinner,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"misirli pirinc pilavi, soslu spagetti","meyve, coleslaw salata, soda"
2024-01-17,wednesday,guney,5.8,114,dinner,mahluta corba,kiymali karisik dolma,zy. patlican dolma,"su boregi, soslu makarna","mevsim salata, komposto, meyve"
2024-01-18,thursday,guney,14.05,71,dinner,andaloz corba,hunkar begendi,patlican yemegi,"bulgur pilavi, melek pilavi","mor salata, meyve, soda"
2024-01-19,friday,guney,13.63,59,dinner,mahluta corba,bahcivan kebabi,nohutlu kabak,"sehriyeli pirinc pilavi, mercimekli bulgur pilavi","meyve, limonata, mevsim salata"
2024-01-20,saturday,guney,3.98,13,dinner,ezogelin corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, mor salata, cevizli kadayif"
2024-01-21,sunday,guney,4.78,19,dinner,suleymaniye corba,etli guvec,sebze guvec,"sehriyeli pirinc pilavi, bulgur pilavi","biber borani, meyve, soda"
