date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-04-05,cuma,ogle yemegi,tarhana corba,etli mantar sote,sebzeli mantar sote,soslu makarna,"meyve, salata, mutebbel"
2024-04-05,cuma,aksam yemegi,mahluta corba,kabak begendili kebap,zy. orbit fasulye,"bulgur pilavi, melek pilavi","lokma tatlisi, limonata, salata"
2024-04-06,cumartesi,ogle yemegi,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,"soslu spagetti, su boregi","kazandibi, meyve, salata"
2024-04-06,cumartesi,aksam yemegi,,cordon bleu,zy. kereviz,soslu makarna,"gazoz, salata, meyve"
2024-04-07,pazar,ogle yemegi,tarhana corba,ciftlik kebabi,sebze buketi,"bulgur pilavi, melek pilavi","meyve suyu, mercimek kofte, cevizli kadayif"
2024-04-07,pazar,aksam yemegi,safak corba,etli karisik dolma,zy.dolma,"gul boregi, zy.barbunya","salata, meyve, iki renkli muhallebi"
2024-04-08,pazartesi,ogle yemegi,krutonlu domates corba,firin tavuk but,zy.barbunya,"gokkusagi pilavi, bulgur pilavi","ayran, mevsim salata, peynir tatlisi"
2024-04-08,pazartesi,aksam yemegi,mantar corba,kekikli misket kofte,patlican tava,"eriste, melek pilavi","komposto, mevsim salata, kisir"
2024-04-09,sali,ogle yemegi,ezogelin corba,et doner,mucver,"misirli pirinc pilavi, bulgur pilavi","fanta, meyve, amerikan salata"
2024-04-09,sali,aksam yemegi,tarhana corba,etli manti,vegan manti,"zy.barbunya, zy. orbit fasulye","mevsim salata, soda, cevizli kadayif"
2024-04-10,carsamba,ogle yemegi,antep corba,garniturlu tavuk sarma,bezelye yemegi,"melek pilavi, bulgur pilavi","mevsim salata, fanta, meyve"
2024-04-10,carsamba,aksam yemegi,sehriye corba,izmir kofte,falafel,zy.barbunya,"yogurt, mevsim salata, brownie"
2024-04-11,persembe,ogle yemegi,mercimek corba,kiymali ispanak,ispanak yemegi,"gul boregi, soslu spagetti","kadayifli muhallebi, meyve, gazoz"
2024-04-11,persembe,aksam yemegi,koylu corba,tavuk kok kanat,zy.mantar,"melek pilavi, soslu makarna","cilekli puding, meyve, mevsim salata"
2024-04-12,cuma,ogle yemegi,sebze corba,pizza,saksuka,"sogan halkasi, zy.enginar","fanta, meyve, mercimek kofte"
2024-04-12,cuma,aksam yemegi,alaca corba,tas kebabi,falafel,"bulgur pilavi, melek pilavi","soda, mevsim salata, meyve"
2024-04-13,cumartesi,ogle yemegi,krutonlu domates corba,soslu tavuk biftek,zy. bruksel lahanasi,"firin makarna, nohutlu pirinc pilavi","meyve, mevsim salata, ayran"
2024-04-13,cumartesi,aksam yemegi,antep corba,manisa kirkagac kofte,karnabahar yemegi,soslu makarna,"gazoz, meyve, muzlu puding"
2024-04-14,pazar,ogle yemegi,ezogelin corba,tavuklu sebze guvec,sebze guvec,"kuskus, bulgur pilavi","cacik, meyve, limonata"
2024-04-14,pazar,aksam yemegi,vitamin corba,tepsi kebabi,zy. bruksel lahanasi,"su boregi, zerdecalli pirinc pilavi","kirmizi pancar salata, revani, meyve"
2024-04-15,pazartesi,ogle yemegi,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"meyve, limonata, damla sakizli muhallebi"
2024-04-15,pazartesi,aksam yemegi,domates corba,etli guvec,etsiz guvec,bulgur pilavi,"limonata, meyve, salata"
2024-04-16,sali,ogle yemegi,mantar corba,firin kofte,bulgur kofte,zy.orbit fasulye,"komposto, mevsim salata, meyve"
2024-04-16,sali,aksam yemegi,safak corba,bahcivan kebabi,nohutlu kabak,"bulgur pilavi, napoliten soslu makarna","visne soslu muhallebi, mevsim salata, meyve"
2024-04-17,carsamba,ogle yemegi,sehriye corba,pureli tas kebabi,sebze buketi,bulgur pilavi,"ayran, kazandibi, salata"
2024-04-17,carsamba,aksam yemegi,krutonlu mercimek corba,tavuk doner,mucver,kori soslu makarna,"gobek salata, limonata, meyve"
2024-04-18,persembe,ogle yemegi,koylu corba,etli taze fasulye,etsiz taze fasulye,"misirli pirinc pilavi, bulgur pilavi","tulumba tatlisi, soda, meyve"
2024-04-18,persembe,aksam yemegi,antep corba,nugget + patates,sebze buketi,"su boregi, soslu makarna","kabak borani, meyve, gazoz"
2024-04-19,cuma,ogle yemegi,domates corba,eksili kofte,zy. orbit fasulye,"bulgur pilavi, boncuk makarna","meyve, soda, mevsim salata"
2024-04-19,cuma,aksam yemegi,mahluta corba,patlican oturtma,saksuka,eriste,"mozaik pasta, meyve, mevsim salata"
2024-04-20,cumartesi,ogle yemegi,ezogelin corba,elbasan tava,zy. bruksel lahanasi,"havuclu pirinc pilavi, eriste","mevsim salata, meyve, supangle"
2024-04-20,cumartesi,aksam yemegi,tarhana corba,etli manti,vegan manti,"zy. taze fasulye, zy. bruksel lahana","fanta, mevsim salata, kazandibi"
2024-04-21,pazar,ogle yemegi,suzme mercimek corba,pilic emense,patates graten,firin makarna,"mevsim salata, meyve, sutlac"
2024-04-21,pazar,aksam yemegi,alaca corba,,zy. patlican dolma,"spagetti makarna, gul boregi","limonata, mevsim salata, meyve"
2024-04-22,pazartesi,ogle yemegi,antep corba,firin kofte,falafel,bulgur pilavi,"havuc borani, mevsim salata, soda"
2024-04-22,pazartesi,aksam yemegi,sehriye corba,kiymali ispanak,ispanak yemegi,"eriste, su boregi","fanta, mevsim salata, kadayifli muhallebi"
2024-04-23,sali,ogle yemegi,alaca corba,arnavut cigeri,mucver,kuskus makarna,"piyaz, fanta, meyve"
2024-04-23,sali,aksam yemegi,elvankiz corba,meksika soslu tavuk,nohutlu kabak,"kori soslu makarna, melek pilavi","gazoz, meyve, mevsim salata"
2024-04-24,carsamba,ogle yemegi,yayla corba,tavuk but kizartma,zy.enginar,"sehriyeli pirinc pilavi, soslu makarna","ayran, cevizli kadayif, meyve"
2024-04-24,carsamba,aksam yemegi,domates corba,kiymali karnabahar,karnabahar graten,"soslu spagetti, su boregi","trilece, soda, mevsim salata"
2024-04-25,persembe,ogle yemegi,mantar corba,ciftlik kofte,zy. kereviz,soslu makarna,"cacik, meyve, limonata"
2024-04-25,persembe,aksam yemegi,sebze corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, yogurt, sekerpare"
2024-04-26,cuma,ogle yemegi,mercimek corba,cordon bleu,falafel,"eriste, cig kofte","meyve, mevsim salata, soda"
2024-04-26,cuma,aksam yemegi,yayla corba,orman kebabi,bezelye yemegi,"melek pilavi, soslu makarna","mevsim salata, meyve, soda"
2024-04-27,cumartesi,ogle yemegi,tarhana corba,kiymali yesil mercimek,yesil mercimek,"su boregi, soslu makarna","kazandibi, meyve, mevsim salata"
2024-04-27,cumartesi,aksam yemegi,ezogelin corba,yayla soslu tavuk,zy.mantar,bulgur pilavi,"acili ezme, meyve, fanta"
2024-04-28,pazar,ogle yemegi,mahluta corba,pureli davutpasa kofte,karnabahar yemegi,"soslu makarna, arpa sehriye pilavi","limonata, mevsim salata, meyve"
2024-04-28,pazar,aksam yemegi,krutonlu domates corba,etli bezelye,bezelye yemegi,meyhane pilavi,"misirli salata, soda, sutlac"
2024-04-29,pazartesi,ogle yemegi,mercimek corba,tavuk baget haslama,patates yemegi,bulgur pilavi,"gazoz, meyve, mevsim salata"
2024-04-29,pazartesi,aksam yemegi,ezogelin corba,adana kofte,mantar sote,soslu makarna,"mevsim salata, meyve, soda"
2024-04-30,sali,ogle yemegi,koylu corba,etli barbunya,zy.barbunya,"melek pilavi, bulgur pilavi","tursu, meyve, tulumba tatlisi"
2024-04-30,sali,aksam yemegi,antep corba,etli turlu,sebze yemegi,peynirli makarna,"ayran, soda, mevsim salata"
2024-05-01,carsamba,ogle yemegi,mercimek corba,pilic special but,saksuka,"sehriyeli pirinc pilavi, soslu makarna","mor salata, ayran, cevizli kadayif"
2024-05-01,carsamba,aksam yemegi,mahluta corba,ciftlik kebabi,nohutlu kabak,"bulgur pilavi, misirli pirinc pilavi","cacik, meyve, salata"
2024-05-02,persembe,ogle yemegi,sehriye corba,pureli rosto kofte,zy.brokoli,"soslu makarna, melek pilavi","limonata, mevsim salata, meyve"
2024-05-02,persembe,aksam yemegi,ezogelin corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, sekerpare, yogurt"
2024-05-03,cuma,ogle yemegi,domates corba,pilic emense,harput kofte,soslu spagetti,"islak kek, meyve, kirmizi pancar salata"
2024-05-03,cuma,aksam yemegi,alaca corba,etli manti,vejetaryen manti,"saksuka, mucver","supangle, meyve, mercimek kofte"
2024-05-04,cumartesi,ogle yemegi,koy corbasi,izmir kofte,sebze sote,eriste,"meyve, gazoz, salata"
2024-05-04,cumartesi,aksam yemegi,antep corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, gul boregi","salata, meyve, yogurt"
2024-05-05,pazar,ogle yemegi,tarhana corba,tavuk haslama,zy.barbunya,"melek pilavi, bulgur pilavi","soda, salata, meyve"
2024-05-05,pazar,aksam yemegi,sehriye corba,kadinbudu kofte,zy. bruksel lahanasi,"soslu makarna, zy.barbunya","meyve, salata, gazoz"
2024-05-06,pazartesi,ogle yemegi,toyga corba,kabak begendili kebap,kabak kalye,eriste,"meyve, salata, gazoz"
2024-05-06,pazartesi,aksam yemegi,kremali kabak corba + vegan corba,nohutlu kiymali ispanak yemegi,nohutlu ispanak yemegi,"gul boregi, soslu makarna","mozaik pasta, meyve, limonata"
2024-05-07,sali,ogle yemegi,tarhana corba,orman kebabi,bezelye yemegi,bulgur pilavi,"sutlac, meyve, salata"
2024-05-07,sali,aksam yemegi,safak corba,firin kofte,falafel,"soslu makarna, melek pilavi","ayran, salata, meyve"
2024-05-08,carsamba,ogle yemegi,suzme mercimek corba,meksika soslu tavuk,harput kofte,"sebzeli pirinc pilavi, penne makarna","humus, kola, mor dunya"
2024-05-08,carsamba,aksam yemegi,mantar corba,kiymali karnabahar,karnabahar yemegi,eriste,"kadayifli muhallebi, mevsim salata, meyve"
2024-05-09,persembe,ogle yemegi,ezogelin corba,et doner,imambayildi,bulgur pilavi,"meyve, fanta, mevsim salata"
2024-05-09,persembe,aksam yemegi,yayla corba,kekikli pilic kavurma,patates graten,soslu makarna,"tabule, ayran, soda"
2024-05-10,cuma,ogle yemegi,antep corba,hasanpasa kofte,zy.bamya,bulgur pilavi,"limonata, meyve, mevsim salata"
2024-05-10,cuma,aksam yemegi,sehriye corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, cacik, meyve"
2024-05-11,cumartesi,ogle yemegi,mercimek corba,cordon bleu,sebze buketi,"su boregi, mantar soslu makarna","mevsim salata, kola, meyve"
2024-05-11,cumartesi,aksam yemegi,koylu corba,eksili kofte,mucver,"eriste, tepsi boregi","soda, meyve, iki renkli muhallebi"
2024-05-12,pazar,ogle yemegi,sebze corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, meyve, kibris tatli, vegan tatli"
2024-05-12,pazar,aksam yemegi,alaca corba,pilic special but,zy. bruksel lahanasi,"bulgur pilavi, ic pilavi","limonata, havuc tarator, meyve"
2024-05-13,pazartesi,ogle yemegi,krutonlu domates corba,nohutlu misket kofte,zy.yaprak sarma,"melek pilavi, bulgur pilavi","meyve, mevsim salata, gazoz"
2024-05-13,pazartesi,aksam yemegi,antep corba,kiymali yesil mercimek,yesil mercimek yemegi,"eriste, kol boregi","soda, baklava, meyve"
2024-05-14,sali,ogle yemegi,ezogelin corba,patlican oturtma,patlican tava,bulgur pilavi,"cacik, meyve, kazandibi+ vegan tatli"
2024-05-14,sali,aksam yemegi,vitamin corba,mantar soslu tavuk sote,mantar sote,soslu makarna,"meyve suyu, kisir, meyve"
2024-05-15,carsamba,ogle yemegi,kafkas corba,tavuk izgara,taze fasulye,"garniturlu pirinc pilavi, soslu spagetti","cig kofte, ayran, meyve"
2024-05-15,carsamba,aksam yemegi,naneli yogurt corba,etli barbunya,zy.barbunya,bulgur pilavi,"ayran, lokma tatlisi, tursu"
2024-05-16,persembe,ogle yemegi,mantar corba,macar gulas,patates graten,bulgur pilavi,"tulumba tatlisi, meyve, limonata"
2024-05-16,persembe,aksam yemegi,safak corba,kiymali ispanak,ispanak yemegi,"su boregi, eriste","meyve, mevsim salata, supangle"
2024-05-17,cuma,ogle yemegi,krutonlu mercimek corba,meksika soslu tavuk,falafel,"misirli pirinc pilavi, meyhane pilavi","soda, mevsim salata, meyve"
2024-05-17,cuma,aksam yemegi,naneli yogurt corba,ciftlik kebabi,zy. taze fasulye,bulgur pilavi,"yogurt, mevsim salata, hayrabolu tatlisi, vegan tatli"
2024-05-18,cumartesi,ogle yemegi,domates corba,pizza,mucver,"sogan halkasi, zy. orbit fasulye","kola, meyve, krem sokola"
2024-05-18,cumartesi,aksam yemegi,alaca corba,pilic kofte,karnabahar yemegi,"soslu makarna, melek pilavi","limonata, meyve, havuc borani"
2024-05-19,pazar,ogle yemegi,kafkas corba,tavuk haslama,sebze buketi,"bulgur pilavi, melek pilavi","ayran, mevsim salata, kemalpasa, vegan tatli"
2024-05-19,pazar,aksam yemegi,antep corba,kiymali yesil mercimek,yesil mercimek yemegi,"kuskus makarna, gul boregi","zerde, mevsim salata, meyve"
2024-05-20,pazartesi,ogle yemegi,ezogelin corba,mantar soslu tavuk sinitzel,zy.mantar,"soslu spagetti, melek pilavi","kabak tarator, meyve, gazoz"
2024-05-20,pazartesi,aksam yemegi,koylu corba,kis turlusu,sebze sote,"meyhane pilavi, melek pilavi","cacik, meyve, tulumba tatlisi, vegan tatli"
2024-05-21,sali,ogle yemegi,suzme mercimek corba,pilic topkapi,mucver,"zy. orbit fasulye, sogan halkasi","soda, meyve, mevsim salata"
2024-05-21,sali,aksam yemegi,yayla corba,nohutlu misket kofte,etsiz nohut,"penne makarna, pirinc pilavi","limonata, mevsim salata, cig kofte"
2024-05-22,carsamba,ogle yemegi,cerkez corba,tavuk doner,mantar sote,"napoliten soslu makarna, garniturlu pirinc pilavi","mercimek kofte, ayran, meyve"
2024-05-22,carsamba,aksam yemegi,mahluta corba,sucuklu kuru fasulye,etsiz kuru fasulye,"meyhane pilavi, melek pilavi","tursu, kazandibi, meyve"
2024-05-23,persembe,ogle yemegi,suzme mercimek corba,etli patlican dolma,zy. patlican dolma,"su boregi, makarna","mor lahana salatasi, meyve, kazandibi"
2024-05-23,persembe,aksam yemegi,anadolu corbasi,kiymali ispanak,ispanak yemegi,"kol boregi, spagetti makarna","gazoz, mevsim salata, meyve"
2024-05-24,cuma,ogle yemegi,koylu corba,etli taze fasulye,zy. taze fasulye,"soslu makarna, zerdecalli pirinc pilavi","yogurt, meyve, komposto"
2024-05-24,cuma,aksam yemegi,andaloz corba,cin usulu  tavuk sote,falafel,"misirli pirinc pilavi, spagetti makarna","gazoz, mevsim salata, cilekli puding"
2024-05-25,cumartesi,ogle yemegi,yayla corba,pideli kofte,zy.brokoli,"zerdecalli pirinc pilavi, arpa sehriye pilavi","ayran, meyve, soda"
2024-05-25,cumartesi,aksam yemegi,sebze corba,patates oturtma,patates yemegi,"soslu makarna, pirinc pilavi","haydari, mevsim salata, meyve"
2024-05-26,pazar,ogle yemegi,antep corba,bahcivan kebabi,zy.taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, mevsim salata, soda"
2024-05-26,pazar,aksam yemegi,safak corba,tavuk doner,nohutlu kabak,"bulgur pilavi, pirinc pilavi","ayran, mevsim salata, meyve"
2024-05-27,pazartesi,ogle yemegi,ezogelin corba,bofstrogonof,mantar yemegi,"bulgur pilavi, pirinc pilavi","gazoz, meyve, mevsim salata"
2024-05-27,pazartesi,aksam yemegi,koy corbasi,etli turlu,sebze yemegi,"su boregi, pirinc pilavi","cevizli kadayif, yogurt, limonata"
2024-05-28,sali,ogle yemegi,mahluta corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","mevsim salata, tursu, soda"
2024-05-28,sali,aksam yemegi,krutonlu domates corba,patlican oturtma,patlican tava,"melek pilavi, bulgur pilavi","cacik, mevsim salata, revani, vegan tatli"
2024-05-29,carsamba,ogle yemegi,antep corba,mantar soslu tavuk biftek,karnabahar graten,"nohutlu pirinc pilavi, bulgur pilavi","limonata, cig kofte, cevizli kadayif"
2024-05-29,carsamba,aksam yemegi,mantar corba,etli bezelye,bezelye yemegi,"bulgur pilavi, pirinc pilavi","yogurt, meyve, sutlac"
2024-05-30,persembe,ogle yemegi,tutmac corba,ispanakli tavuk sarma,falafel,"soslu makarna, melek pilavi","ayran, mevsim salata, kisir"
2024-05-30,persembe,aksam yemegi,cennet corba,et sote,nohutlu kabak,"zerdecalli pirinc pilavi, meyhane pilavi","soda, kabak borani, meyve"
2024-05-31,cuma,ogle yemegi,brokoli corba,izmir kofte,zy.bamya,"soslu makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-05-31,cuma,aksam yemegi,antep corba,orman kebabi,bezelye yemegi,"bulgur pilavi, pirinc pilavi","yogurt, meyve, supangle, vegan tatli"
2024-06-01,cumartesi,ogle yemegi,suzme mercimek corba,etli kuru fasulye,etsiz kuru fasulye,"pirinc pilavi, bulgur pilavi","tursu, sutlac, soda"
2024-06-01,cumartesi,aksam yemegi,domates corba,kori soslu tavuk sote,sebze buketi,"soslu makarna, melek pilavi","meyve, salata, soda"
2024-06-02,pazar,ogle yemegi,safak corba,kiymali ispanak,ispanak yemegi,"gul boregi, spagetti makarna","supangle, meyve, limonata"
2024-06-02,pazar,aksam yemegi,yayla corba,ciftlik kofte,nohutlu kabak,"bulgur pilavi, melek pilavi","ayran, meyve, salata"
2024-06-03,pazartesi,ogle yemegi,sebze corba,tas kebabi,yesil mercimek yemegi,"arpa sehriyeli pirinc pilavi, bulgur pilavi","komposto, meyve, misirli salata"
2024-06-03,pazartesi,aksam yemegi,ezogelin corba,etli manti,vegan manti,"zeytinyagli barbunya, saksuka","muzlu puding, meyve, coban salata"
2024-06-04,sali,ogle yemegi,antep corba,etli bezelye,bezelye yemegi,"domatesli arpa sehriye pilavi, melek pilavi","baklava, limonata, salata"
2024-06-04,sali,aksam yemegi,ezogelin corba,etli mantar sote,mantar sote,"soslu makarna, yesil mercimekli bulgur pilavi","meyve suyu, salata, tulumba tatlisi"
2024-06-05,carsamba,ogle yemegi,suzme mercimek corba,tavuk sac kavurma,bugdayli semizotu yemegi,"nohutlu pirinc pilavi, penne makarna","fanta, trilece, coban salata"
2024-06-05,carsamba,aksam yemegi,tarhana corba,etli patlican dolma,zy. patlican dolma,"gul boregi, soslu makarna","sutlu irmik tatli, meyve, soda"
2024-06-06,persembe,ogle yemegi,sehriye corba,etli nohut,nohut yemegi,"melek pilavi, pirinc pilavi","tursu, limonata, cevizli kadayif"
2024-06-06,persembe,aksam yemegi,mahluta corba,rosto kofte,zy. bamya,"pirinc pilavi, eriste","ayran, salata, meyve"
2024-06-07,cuma,ogle yemegi,toyga corba,etli guvec,sebze guvec,"soslu makarna, bulgur pilavi","sutlac, meyve, salata"
2024-06-07,cuma,aksam yemegi,domates corba,pilic kulbasti,patates graten,"penne makarna, misirli pirinc pilavi","soda, meyve, havuc tarator"
2024-06-08,cumartesi,ogle yemegi,alaca corba,pideli kofte,yesil mercimek,"spagetti makarna, pirinc pilavi","semizotu salata, meyve, meyveli soda"
2024-06-08,cumartesi,aksam yemegi,koylu corba,pilicli patlican kebap,imambayildi,"kuskus, pirinc pilavi","cacik, meyve, zerde tatlisi"
2024-06-09,pazar,ogle yemegi,kafkas corba,firin baget,harput kofte,"eriste, garniturlu pirinc pilavi","coban salata, meyve, ayran"
2024-06-09,pazar,aksam yemegi,anadolu corbasi,etli taze fasulye,zy. taze fasulye,"pirinc pilavi, bulgur pilavi","fanta, meyve, visne soslu muhallebi"
2024-06-10,pazartesi,ogle yemegi,koylu corba,macar gulas,nohutlu kabak yemegi,"bulgur pilavi, pirinc pilavi","meyveli soda, salata, meyve"
2024-06-10,pazartesi,aksam yemegi,antep corba,kiymali ispanak,ispanak yemegi,"eriste, su boregi","kazandibi, meyve, gazoz"
2024-06-11,sali,ogle yemegi,safak corba,kuru kofte,saksuka,"peynirli makarna, pirinc pilavi","meyve, salata, soda"
2024-06-11,sali,aksam yemegi,mantar corba,kiymali patates oturtma,etsiz patates yemegi,"soslu spagetti, melek pilavi","dondurma, mercimek kofte, limonata"
2024-06-12,carsamba,ogle yemegi,cesmi nigar corba,kori soslu pilic,zy. patlican dolma,"nohutlu pirinc pilavi, domates soslu makarna","magnolia, coban salata, meyve"
2024-06-12,carsamba,aksam yemegi,domates corba,ciftlik kebabi,etsiz taze fasulye,"domatesli bulgur pilavi, pirinc pilavi","yogurt, meyve, sutlac"
2024-06-13,persembe,ogle yemegi,tarhana corba,sucuklu kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","tursu, ayran, krem sokola"
2024-06-13,persembe,aksam yemegi,koy corbasi,kadinbudu kofte,mucver,"peynirli makarna, zy. orbit fasulye","soda, salata, meyve"
2024-06-14,cuma,ogle yemegi,krotonlu mercimek corba,etli patlican dolma,zy.patlican dolma,"soslu makarna, gul boregi","meyve, misirli salata, soda"
2024-06-14,cuma,aksam yemegi,romen corba,tavuk fajita,falafel,"soslu makarna, zerdecalli pirinc pilavi","fanta, meyve, salata"
2024-06-15,cumartesi,ogle yemegi,soguk ayranasi corba,islim kofte,harput kofte,"misirli pirinc pilavi, soslu makarna","kola, sutlac, salata"
2024-06-15,cumartesi,aksam yemegi,tarhana corba,kiymali yesil mercimek,yesil mercimek yemegi,"tepsi boregi, eriste","mozaik pasta, meyve, patates salata"
2024-06-16,pazar,ogle yemegi,domates corba,hunkar begendi,dovmec,"melek pilavi, domatesli bulgur pilavi","yogurt, dondurma, salata"
2024-06-16,pazar,aksam yemegi,antep corba,eksili kofte,etsiz bezelye,"soslu makarna, gul boregi","meyve suyu, salata, gazoz"
2024-06-17,pazartesi,ogle yemegi,ezogelin corba,izgara tavuk,ispanak graten,"sark pilavi, nohutlu pirinc pilavi","ayran, coban salata, meyve"
2024-06-17,pazartesi,aksam yemegi,sultan corba,etli kabak dolma,zy.kabak dolma,"karisik kizartma, soslu makarna","meyve, acili ezme, visneli soda"
2024-06-18,sali,ogle yemegi,tavuk suyu corba,etli turlu,sebze sote,"pirinc pilavi, eriste","semizotu salata, yogurt, meyve"
2024-06-18,sali,aksam yemegi,antep corba,pureli rosto kofte,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","salata, revani, meyve"
2024-06-19,carsamba,ogle yemegi,sefim corba,kekikli pilic kavurma,falafel,"misirli pirinc pilavi, makarna","meyveli soda, coban salata, tavuk gogsu"
2024-06-19,carsamba,aksam yemegi,yayla corba,karniyarik,imambayildi,"domatesli bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, tulumba tatlisi"
2024-06-20,persembe,ogle yemegi,mantar corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","tursu, meyve, mozaik pasta"
2024-06-20,persembe,aksam yemegi,suzme mercimek corba,meksika soslu tavuk,patates graten,"penne makarna, melek pilavi","ayran, meyve, keskul"
2024-06-21,cuma,ogle yemegi,mahluta corba,et doner,falafel,"garniturlu pirinc pilavi, domates soslu makarna","ayran, mevsim salata, meyve"
2024-06-21,cuma,aksam yemegi,sehriye corba,etli taze fasulye,etsiz taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, meyve, gazoz"
2024-06-22,cumartesi,ogle yemegi,alaca corba,etli manti,vegan manti,"saksuka, zy.barbunya","meyve suyu, dondurma, salata"
2024-06-22,cumartesi,aksam yemegi,soguk ayranasi corba,nugget + patates,nohutlu kabak yemegi,"firin makarna, arpa sehriyeli pilav","fanta, amerikan salata, meyve"
2024-06-23,pazar,ogle yemegi,ezogelin corba,pizza,mucver,"zy.orbit fasulye, sogan halkasi","kola, islak kek, meyve"
2024-06-23,pazar,aksam yemegi,safak corba,etli barbunya,sicak barbunya,"bulgur pilavi, pirinc pilavi","tursu, meyve, limonata"
2024-06-24,pazartesi,ogle yemegi,sef'in corbasi,etli patates musakka,etsiz patates graten,"nohutlu pirinc pilavi, eriste","supangle, salata, limonata"
2024-06-24,pazartesi,aksam yemegi,tarhana corba,mantarli tavuk sote,mantar yemegi,"melek pilavi, soslu makarna","limonata, meyve, coban salata"
2024-06-25,sali,ogle yemegi,dugun corba,manisa kirkagac kofte,harput kofte,"pirinc pilavi, zy. orbit fasulye","humus, meyve, salata"
2024-06-25,sali,aksam yemegi,mantar corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, soslu spagetti","hayrabolu tatlisi, meyve, salata"
2024-06-26,carsamba,ogle yemegi,krotonlu mercimek corba,tavuklu abant kebabi,kabak kalye,"misirli pirinc pilavi, penne makarna","portakalli gazoz, meyve, haydari"
2024-06-26,carsamba,aksam yemegi,domates corba,orman kebabi,bezelye yemegi,"bulgur pilavi, melek pilavi","yogurt, komposto, salata"
2024-06-27,persembe,ogle yemegi,mahluta corba,et doner,falafel,"garniturlu pirinc pilavi, domates soslu makarna","ayran, soda, mevsim salata"
2024-06-27,persembe,aksam yemegi,antep corba,sucuklu kuru fasulye,etsiz kuru fasulye,"meyhane pilavi, pirinc pilavi","tursu, ayran, meyve"
2024-06-28,cuma,ogle yemegi,domates corba,alinazik kebabi,patlican tava,"bulgur pilavi, melek pilavi","kola, mevsim salata, meyve"
2024-06-28,cuma,aksam yemegi,yogurtlu nane corba,etli taze fasulye,etsiz taze fasulye,"pirinc pilavi, soslu makarna","kazandibi, meyve, salata"
2024-06-29,cumartesi,ogle yemegi,naneli yogurt corba,etli nohut,etsiz nohut,"mercimekli bulgur pilavi, pirinc pilavi","ayran, coban salata, meyve"
2024-06-29,cumartesi,aksam yemegi,mercimek corba,beef navarin,zy.brokoli,"pirinc pilavi, soslu makarna","salata, ayran, meyve"
2024-06-30,pazar,ogle yemegi,domates corba,nugget,bruksel lahana,"soslu spagetti, pirinc pilavi","sekerpare, salata, soda"
2024-06-30,pazar,aksam yemegi,yayla corba,izmir kofte,patlican yemegi,"pirinc pilavi, bulgur pilavi","kabak borani, fanta, salata"
2024-07-01,pazartesi,ogle yemegi,alaca corba,tavuk doner,falafel,"pirinc pilavi, soslu makarna","salata, soda, meyve"
2024-07-01,pazartesi,aksam yemegi,mantar corba,etli kuru fasulye,etsiz kuru fasulye,"bulgur pilavi, melek pilavi","ayran, tursu, magnolia"
2024-07-02,sali,ogle yemegi,ayranasi corba,bahcivan kebabi,bezelye yemegi,"bulgur pilavi, pirinc pilavi","cheesecake, meyve, limonata"
2024-07-02,sali,aksam yemegi,kafkas corba,kiymali patates oturtma,patates graten,"soslu spagetti, gul boregi","dondurma, meyve, salata"
2024-07-03,carsamba,ogle yemegi,sebze corba,tas kebabi,saksuka,"pirinc pilavi, bulgur pilavi","soda, mevsim salata, cilekli puding"
2024-07-03,carsamba,aksam yemegi,ezogelin corba,eksili kofte,harput kofte,"soslu makarna, pirinc pilavi","gazoz, meyve, acili ezme"
2024-07-04,persembe,ogle yemegi,tarhana corba,etli taze fasulye,etsiz taze fasulye,"bulgur pilavi, eriste","yogurt, meyve, salata"
2024-07-04,persembe,aksam yemegi,yayla corba,izgara tavuk,mucver,"nohutlu pirinc pilavi, soslu makarna","meyveli soda, sutlu irmik tatli, salata"
2024-07-05,cuma,ogle yemegi,sef'in corbasi,etli barbunya,sicak barbunya,"bulgur pilavi, pirinc pilavi","tursu, salata, sutlac"
2024-07-05,cuma,aksam yemegi,anadolu corbasi,izmir kofte,brokoli yemegi,"soslu makarna, misirli pirinc pilavi","portakalli gazoz, meyve, semizotu salata"
2024-07-06,cumartesi,ogle yemegi,suzme mercimek corba,cordon bleu,kabak kalye,"firin makarna, melek pilavi","meyve, limonata, mozaik pasta"
